config,mean_f1,std_f1,mean_acc,std_acc,f1_scores,acc_scores
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.699395811425329,0.005598636912411639,0.7001956947162427,0.0055442998984672875,"[0.7037025351770629, 0.6914886507338781, 0.702996248365046]","[0.7037181996086106, 0.6923679060665362, 0.7045009784735813]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7458473459778162,0.0035926501058083492,0.7454664057403783,0.0036900549572683496,"[0.7431455801452048, 0.7434718300677152, 0.750924627720529]","[0.7428571428571429, 0.7428571428571429, 0.7506849315068493]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6982698638005713,0.005707782412931885,0.6982387475538161,0.005778795718290924,"[0.6978376774726166, 0.6915054067467284, 0.7054665071823687]","[0.6974559686888454, 0.6915851272015656, 0.7056751467710372]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7447722970473086,0.004496045048681726,0.7449445531637312,0.004338757768640803,"[0.7467751615151512, 0.7489970519572096, 0.738544677669565]","[0.7455968688845401, 0.7499021526418786, 0.7393346379647749]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.7017767864534662,0.00560651514227668,0.7018917155903458,0.005273681130178149,"[0.7014134408001683, 0.7088177962023722, 0.6950991223578581]","[0.7017612524461839, 0.7084148727984345, 0.6954990215264188]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7522941249956543,0.004543328424685559,0.7515981735159817,0.004797071444448865,"[0.7458791467282481, 0.7551873051518168, 0.7558159231068982]","[0.7448140900195694, 0.7549902152641879, 0.7549902152641879]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.7003853462825441,0.008890790068640693,0.7007175472928898,0.008724463664605593,"[0.7097547206418401, 0.7029622250602834, 0.6884390931455089]","[0.7103718199608611, 0.7025440313111546, 0.6892367906066537]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7458359129293896,0.008245568044880636,0.7452054794520547,0.00829031434589289,"[0.7434586977620841, 0.7569111642615742, 0.7371378767645105]","[0.7420743639921722, 0.7565557729941291, 0.736986301369863]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6693067354157319,0.002894694718485075,0.6691454664057405,0.003136546713678092,"[0.6678333372981147, 0.6667357601011946, 0.6733511088478865]","[0.6669275929549903, 0.6669275929549903, 0.6735812133072407]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.701591853391235,0.009573222509192158,0.7018917155903458,0.009313277650397758,"[0.6881088043072178, 0.709394238133385, 0.7072725177331018]","[0.6888454011741684, 0.7099804305283758, 0.7068493150684931]"
