config,mean_f1,std_f1,mean_acc,std_acc,f1_scores,acc_scores
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6780675986965053,0.004414291596895671,0.6774951076320939,0.003558560129676649,"[0.6792610555640584, 0.6827775359750762, 0.6721642045503814]","[0.6767123287671233, 0.6821917808219178, 0.6735812133072407]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6989947336689988,0.012331439036539958,0.6988910632746249,0.012815970452960533,"[0.7134965534291356, 0.7001324768870879, 0.6833551706907727]","[0.713894324853229, 0.7001956947162427, 0.6825831702544032]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6702104839304012,0.008751317008236704,0.6703196347031963,0.008817610044991958,"[0.6628521375267125, 0.6652716888264053, 0.6825076254380861]","[0.6622309197651663, 0.6661448140900196, 0.6825831702544032]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6992607207848529,0.008177073125712808,0.6986301369863014,0.008580865572031469,"[0.6935407150674537, 0.6934168200193405, 0.7108246272677646]","[0.6923679060665362, 0.6927592954990216, 0.7107632093933464]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.670633814831041,0.005459997186455321,0.6696673189823875,0.00693543841356923,"[0.675644971500113, 0.6630406451663508, 0.6732158278266595]","[0.675146771037182, 0.6598825831702544, 0.673972602739726]"
"{'learning_rate': 0.001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6971909284669565,0.004468569485332754,0.6968036529680366,0.004881483870546564,"[0.6925051051913063, 0.6958617201394345, 0.7032059600701288]","[0.6915851272015656, 0.6954990215264188, 0.7033268101761253]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.7175498471916676,0.006608381130731629,0.7176777560339204,0.00599846780564784,"[0.7233663258382965, 0.7083065874367763, 0.7209766282999304]","[0.7221135029354208, 0.7091976516634051, 0.7217221135029355]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7343041461947029,0.007881912738179193,0.7337247227658187,0.007671854104625764,"[0.7246974202036404, 0.7440034191585536, 0.7342115992219144]","[0.7244618395303327, 0.7432485322896282, 0.7334637964774952]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.7124984162866504,0.01156426914130832,0.7128506196999348,0.012484988895259218,"[0.7143227671531946, 0.6975113593584694, 0.7256611223482872]","[0.7158512720156556, 0.6962818003913894, 0.7264187866927593]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7278096467322532,0.0024833908835844775,0.7273320287018917,0.0034170387093826306,"[0.72480124147027, 0.7277444645297002, 0.7308832341967894]","[0.723679060665362, 0.7264187866927593, 0.7318982387475539]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.7055266299654165,0.0038239483416693727,0.7050228310502283,0.003356733289045937,"[0.7063251447903767, 0.7004953479485788, 0.7097593971572937]","[0.7048923679060666, 0.7009784735812133, 0.7091976516634051]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7366983163484869,0.006371746908499982,0.7367253750815396,0.006116481758502821,"[0.7428066137347329, 0.7393813503507166, 0.7279069849600113]","[0.7428571428571429, 0.7389432485322897, 0.728375733855186]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.7156303434065983,0.012960986710958054,0.7158512720156556,0.01297304933558362,"[0.7180412503876067, 0.6986888989899039, 0.7301608808422844]","[0.7189823874755382, 0.6986301369863014, 0.7299412915851272]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7352777310359163,0.004246990259637568,0.73529028049576,0.003995666753062869,"[0.7326146326277942, 0.731947057642366, 0.7412715028375887]","[0.7330724070450098, 0.7318982387475539, 0.7409001956947162]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6641160207918534,0.009445667554347658,0.6643183300717547,0.009663083724535561,"[0.6508873492464191, 0.6691232970827382, 0.6723374160464028]","[0.650880626223092, 0.6688845401174168, 0.6731898238747555]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6857708051835033,0.009361120229576206,0.6859752120026092,0.009040634645307419,"[0.6725558279680566, 0.691693355235379, 0.6930632323470747]","[0.6731898238747555, 0.6923679060665362, 0.6923679060665362]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6701086182955415,0.014270481996282985,0.6697977821265493,0.014624679877459943,"[0.6517375144742691, 0.6865292854713534, 0.6720590549410018]","[0.650880626223092, 0.6864970645792564, 0.6720156555772995]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6929708166239288,0.0032341327798353007,0.6928897586431834,0.0034170387093825933,"[0.6955673778055085, 0.6884117347851106, 0.6949333372811672]","[0.6954990215264188, 0.6880626223091977, 0.6951076320939334]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6649932249863317,0.006417434318823583,0.6651011089367254,0.006425889292119865,"[0.6564864458390152, 0.6719854512215504, 0.6665077778984295]","[0.6563600782778866, 0.6716242661448141, 0.6673189823874756]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6782606913456867,0.006097898478871941,0.6781474233529029,0.006345929031710524,"[0.6696878549756327, 0.6817369205298296, 0.6833572985315975]","[0.6692759295499022, 0.6814090019569472, 0.6837573385518592]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6722093542195834,0.009925619345000856,0.6717547292889758,0.008817610044991958,"[0.6824308259224308, 0.6754303658585545, 0.6587668708777649]","[0.6798434442270059, 0.6759295499021527, 0.6594911937377691]"
"{'learning_rate': 0.0003, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6777653761766693,0.012432215384649194,0.6773646444879322,0.012631365889064189,"[0.6816686041952796, 0.6609674300502548, 0.6906600942844736]","[0.6814090019569472, 0.6602739726027398, 0.6904109589041096]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6942266187463306,0.008179737039737626,0.6936725375081539,0.007496807774851244,"[0.6831291709399772, 0.6969474218235596, 0.7026032634754551]","[0.6833659491193738, 0.6966731898238748, 0.7009784735812133]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7138441339073293,0.006538406033876352,0.7129810828440966,0.006425889292119915,"[0.7075965048787048, 0.7228714625307348, 0.7110644343125483]","[0.7064579256360078, 0.7217221135029355, 0.7107632093933464]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6937601602714665,0.011860438003835542,0.6936725375081539,0.011708294922992602,"[0.6953912518085915, 0.7074017801920139, 0.678487448813794]","[0.6951076320939334, 0.7072407045009785, 0.67866927592955]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7145767498663189,0.007889197558897216,0.7145466405740378,0.007591565049433046,"[0.7099663974157797, 0.7080831963596147, 0.7256806558235623]","[0.7099804305283758, 0.7084148727984345, 0.7252446183953033]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6989702066626293,0.0055183767297047,0.6994129158512722,0.0058577806446558425,"[0.7001343796898215, 0.6917051381448313, 0.7050711021532353]","[0.7009784735812133, 0.6915851272015656, 0.7056751467710372]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.7146550813554059,0.001533806798512106,0.7148075668623615,0.0012915192350439171,"[0.7138326296610076, 0.7133280538118334, 0.7168045605933766]","[0.713894324853229, 0.713894324853229, 0.7166340508806263]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6917233720062684,0.0060737533081296575,0.6915851272015656,0.005987107060970008,"[0.6864568858504361, 0.6884800674965408, 0.7002331626718286]","[0.6857142857142857, 0.6892367906066537, 0.6998043052837574]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'adam', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.7168686082704072,0.0024019675311295723,0.716242661448141,0.0024959069105947767,"[0.7191612069409216, 0.7135515566386252, 0.7178930612316751]","[0.7181996086105675, 0.712720156555773, 0.7178082191780822]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6625685518042562,0.012927316402342858,0.6621004566210046,0.013400286095351724,"[0.6525790080891741, 0.6808234151517822, 0.6543032321718123]","[0.6516634050880626, 0.6810176125244619, 0.6536203522504892]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6402105555992353,0.021085118125813963,0.6410958904109589,0.01981322427300156,"[0.6663164119983387, 0.6146781840698977, 0.6396370707294697]","[0.6653620352250489, 0.6168297455968689, 0.6410958904109589]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6638144653844611,0.009687523318884046,0.6639269406392694,0.010117414726857852,"[0.669302402724777, 0.6719417464075288, 0.6501992470210776]","[0.6696673189823875, 0.6724070450097848, 0.649706457925636]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6435988260093467,0.02052476108647076,0.6440965427266797,0.02053541278011844,"[0.6407652350789187, 0.6700331512949547, 0.6199980916541666]","[0.6414872798434442, 0.6704500978473581, 0.6203522504892368]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'resnet34'}",0.6617334487701193,0.005796492308482492,0.6610567514677104,0.006237721115659201,"[0.6619380863530896, 0.6545341181272862, 0.668728141829982]","[0.6606653620352251, 0.6536203522504892, 0.6688845401174168]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.2, 'model_name': 'efficientnet'}",0.6549102300433592,0.009043215398807748,0.654924983692107,0.008961213182556781,"[0.6458128869868058, 0.6516744054988395, 0.6672433976444325]","[0.6454011741682975, 0.6524461839530333, 0.6669275929549903]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'resnet34'}",0.6647198082099729,0.018029095758194277,0.6657534246575342,0.01771514641575424,"[0.6842586664053281, 0.6691365415991539, 0.6407642166254365]","[0.6857142857142857, 0.6688845401174168, 0.6426614481409002]"
"{'learning_rate': 0.0001, 'batch_size': 32, 'optimizer': 'sgd', 'weight_decay': 0.0001, 'dropout_rate': 0.5, 'model_name': 'efficientnet'}",0.6375723438852902,0.008135302689252314,0.6382257012393998,0.007090764901083479,"[0.6454607940525819, 0.6408809796328783, 0.6263752579704102]","[0.6454011741682975, 0.6407045009784736, 0.6285714285714286]"
